params,score,iteration
"{'fast_period': 6, 'slow_period': 42, 'rsi_period': 15, 'rsi_overbought': 74, 'rsi_oversold': 37, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 2.75}",0.0,0
"{'fast_period': 19, 'slow_period': 36, 'rsi_period': 19, 'rsi_overbought': 73, 'rsi_oversold': 38, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 1.75}",0.0,1
"{'fast_period': 13, 'slow_period': 23, 'rsi_period': 12, 'rsi_overbought': 62, 'rsi_oversold': 34, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 3.25}",0.0,2
"{'fast_period': 12, 'slow_period': 25, 'rsi_period': 20, 'rsi_overbought': 74, 'rsi_oversold': 22, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 3.0}",0.0,3
"{'fast_period': 18, 'slow_period': 47, 'rsi_period': 17, 'rsi_overbought': 79, 'rsi_oversold': 24, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 1.5}",0.0,4
"{'fast_period': 15, 'slow_period': 24, 'rsi_period': 15, 'rsi_overbought': 79, 'rsi_oversold': 37, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 3.25}",0.0,5
"{'fast_period': 19, 'slow_period': 48, 'rsi_period': 15, 'rsi_overbought': 68, 'rsi_oversold': 27, 'atr_stop_multiplier': 2.75, 'risk_reward_ratio': 1.5}",0.0,6
"{'fast_period': 13, 'slow_period': 35, 'rsi_period': 17, 'rsi_overbought': 74, 'rsi_oversold': 35, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 3.0}",0.0,7
"{'fast_period': 6, 'slow_period': 37, 'rsi_period': 10, 'rsi_overbought': 64, 'rsi_oversold': 39, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 2.75}",0.0,8
"{'fast_period': 20, 'slow_period': 27, 'rsi_period': 14, 'rsi_overbought': 63, 'rsi_oversold': 26, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 3.25}",0.0,9
"{'fast_period': 16, 'slow_period': 35, 'rsi_period': 11, 'rsi_overbought': 68, 'rsi_oversold': 26, 'atr_stop_multiplier': 2.25, 'risk_reward_ratio': 3.25}",0.0,10
"{'fast_period': 17, 'slow_period': 49, 'rsi_period': 19, 'rsi_overbought': 67, 'rsi_oversold': 30, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 2.75}",0.0,11
"{'fast_period': 8, 'slow_period': 46, 'rsi_period': 11, 'rsi_overbought': 60, 'rsi_oversold': 28, 'atr_stop_multiplier': 1.75, 'risk_reward_ratio': 2.0}",0.0,12
"{'fast_period': 19, 'slow_period': 32, 'rsi_period': 16, 'rsi_overbought': 69, 'rsi_oversold': 28, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 2.25}",0.0,13
"{'fast_period': 9, 'slow_period': 44, 'rsi_period': 16, 'rsi_overbought': 72, 'rsi_oversold': 40, 'atr_stop_multiplier': 2.5, 'risk_reward_ratio': 2.0}",0.0,14
"{'fast_period': 7, 'slow_period': 44, 'rsi_period': 13, 'rsi_overbought': 77, 'rsi_oversold': 30, 'atr_stop_multiplier': 2.0, 'risk_reward_ratio': 2.25}",0.0,15
